Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Stratification 3,Data Type,Data Type Label,Data Value,FIPS,Geolocation,Region,State Abbreviation,Census Division,Data Value Available Flag,Data Value Category,Year Group
2021,Michigan,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,65-74,65-74,None,Household Productivity Cost (Dollars in Millions),Household Productivity Cost ($ in Millions),170.4,26,POINT (-84.71439 44.66132),Midwest,MI,East North Central,Yes,Low,2020-2024
2021,Michigan,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Females,Age,18+,Total,None,Cost (Dollars) Per Person with Diabetes,Cost ($) Per PWD,439,26,POINT (-84.71439 44.66132),Midwest,MI,East North Central,Yes,Medium,2020-2024
2021,Arizona,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Overall,Age,45-64,45-64,None,Household Productivity Cost (Dollars in Millions),Household Productivity Cost ($ in Millions),560.2,4,POINT (-111.763811 34.86597),West,AZ,Mountain,Yes,Medium,2020-2024
2021,Nevada,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Males,Age,19+,Total,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),"2,991.10",32,POINT (-117.071841 39.49324),West,NV,Mountain,Yes,High,2020-2024
2021,Louisiana,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Males,Age,18-44,18-44,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),138.4,22,POINT (-92.44568 31.312661),South,LA,West South Central,Yes,Low,2020-2024
2021,Hawaii,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,45-64,45-64,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),53.3,15,POINT (-157.857749 21.30485),West,HI,Pacific,Yes,Low,2020-2024
2021,Mississippi,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Males,Age,19-64,19-64,None,Total Cost per Person with Diabetes (Dollars),Total Cost per PWD ($),"29,568",28,POINT (-89.538031 32.74551),South,MS,East South Central,Yes,High,2020-2024
2021,California,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Overall,Age,18+,Total,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),"1,606.20",6,POINT (-121 37.63864),West,CA,Pacific,Yes,Medium,2020-2024
2021,Connecticut,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,18-74,Total,None,Cost Per Person with Diabetes (Dollars),Cost Per PWD ($),542,9,POINT (-72.649841 41.562661),Northeast,CT,New England,Yes,Medium,2020-2024
2021,Tennessee,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-44,18-44,None,Cost Per Person with Diabetes (Dollars),Cost Per PWD ($),"3,277",47,POINT (-85.774491 35.680941),South,TN,East South Central,Yes,High,2020-2024
2021,Virginia,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Males,Age,18-44,18-44,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),160.7,51,POINT (-78.45789 37.542681),South,VA,South Atlantic,Yes,Low,2020-2024
2021,Indiana,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Overall,Age,18-74,Total,None,Cost Per Person with Diabetes Unable to Work (Dollars),Cost Per PWD Unable to Work ($),"67,438",18,POINT (-86.14996 39.76691),Midwest,IN,East North Central,Yes,High,2020-2024
2021,New Mexico,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Overall,Age,65+,65+,Direct Cost,Direct Cost (Dollars in Millions),Direct Cost ($ in Millions),766.2,35,POINT (-106.240581 34.520881),West,NM,Mountain,Yes,Medium,2020-2024
2021,Montana,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Overall,Age,19-64,19-64,None,Total Cost per Person with Diabetes (Dollars),Total Cost per PWD ($),"25,888",30,POINT (-109.424421 47.066529),West,MT,Mountain,Yes,High,2020-2024
2021,North Dakota,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Males,Age,65-74,65-74,None,Cost Per Person with Diabetes (Dollars),Cost Per PWD ($),60,38,POINT (-100.118421 47.47532),Midwest,ND,West North Central,Yes,Low,2020-2024
2021,South Dakota,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Overall,Age,45-64,45-64,None,Number of Days Lost Per Person with Diabetes,Days Lost Per PWD,7.8,46,POINT (-100.373531 44.35313),Midwest,SD,West North Central,Yes,Low,2020-2024
2021,Alabama,"By Payer, Sex, Age","Annual Direct Medical Costs Attributable to Diabetes, by Payer, Sex, and Age Group",Sex,Females,Age,19-64,19-64,None,Total Medical Cost (Dollars in Millions): Medicaid,Medicaid ($ in Millions),301.3,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Kentucky,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,65-74,65-74,None,Cost Per Person with Diabetes (Dollars),Cost Per PWD ($),72,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Low,2020-2024
2021,Illinois,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Females,Age,18-44,18-44,None,Number of Days Lost Per Person with Diabetes,Days Lost Per PWD,9.6,17,POINT (-88.99771 40.48501),Midwest,IL,East North Central,Yes,Low,2020-2024
2021,Kansas,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Overall,Age,18-44,18-44,None,Number of Work Days Lost Per Employed Person with Diabetes,Work Days Lost Per Employed PWD,2.5,20,POINT (-98.200781 38.34774),Midwest,KS,West North Central,Yes,Low,2020-2024
2021,Maryland,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Females,Age,45-64,45-64,None,Number of Days Lost Per Person with Diabetes,Days Lost Per PWD,10.3,24,POINT (-76.60926 39.290581),South,MD,South Atlantic,Yes,Low,2020-2024
2021,Hawaii,By Payer,"Annual Direct Medical Costs Attributable to Diabetes, by Payer",Sex,Females,Age,19+,Total,Medicaid,Total Cost (Dollars in Millions),Total Cost ($ in Millions),160.9,15,POINT (-157.857749 21.30485),West,HI,Pacific,Yes,Low,2020-2024
2021,Colorado,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Males,Age,18-44,18-44,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),68.1,8,POINT (-106.133611 38.843841),West,CO,Mountain,Yes,Low,2020-2024
2021,Wisconsin,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,18-44,18-44,None,Work Productivity Cost (Dollars in Millions),Work Productivity Cost ($ in Millions),278.5,55,POINT (-89.816371 44.393191),Midwest,WI,East North Central,Yes,Medium,2020-2024
2021,Georgia,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,18-74,Total,None,Work Productivity Cost (Dollars in Millions),Work Productivity Cost ($ in Millions),"2,852",13,POINT (-83.62758 32.839681),South,GA,South Atlantic,Yes,High,2020-2024
2021,Missouri,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,Not Stratified,Overall,Not Stratified,Overall,Overall,Morbidity,Cost Per Person with Diabetes,Cost Per PWD,334,29,POINT (-92.5663 38.635791),Midwest,MO,West North Central,Yes,Medium,2020-2024
2021,Arkansas,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Females,Age,45-64,45-64,None,Number of Work Days Lost Per Employed Person with Diabetes,Work Days Lost Per Employed PWD,16,5,POINT (-92.274491 34.74865),South,AR,West South Central,Yes,Low,2020-2024
2021,Hawaii,By Payer,"Annual Direct Medical Costs Attributable to Diabetes, by Payer",Sex,Females,Age,19+,Total,Other,Per Person with Diabetes (Dollars),Per PWD ($),Not Available,15,POINT (-157.857749 21.30485),West,HI,Pacific,No,Not Available,2020-2024
2021,South Dakota,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Males,Age,18-44,18-44,None,Cost (Dollars) Per Employed Person with Diabetes,Cost ($) Per Employed PWD,546,46,POINT (-100.373531 44.35313),Midwest,SD,West North Central,Yes,Medium,2020-2024
2021,Oregon,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Overall,Age,45-64,45-64,None,Cost Per Person with Diabetes Unable to Work (Dollars),Cost Per PWD Unable to Work ($),"93,383",41,POINT (-120.155031 44.567449),West,OR,Pacific,Yes,High,2020-2024
2021,Kentucky,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Males,Age,65-74,65-74,None,Number of Persons Unable to Work because of Diabetes,PWD Unable to Work ATD,"1,825",21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Medium,2020-2024
2021,Nebraska,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Overall,Age,75+,75+,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),8.4,31,POINT (-99.365721 41.641041),Midwest,NE,West North Central,Yes,Low,2020-2024
2021,Colorado,By Payer,"Annual Direct Medical Costs Attributable to Diabetes, by Payer",Sex,Males,Age,19+,Total,Medicare,Total Cost (Dollars in Millions),Total Cost ($ in Millions),529.8,8,POINT (-106.133611 38.843841),West,CO,Mountain,Yes,Medium,2020-2024
2021,Massachusetts,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Males,Age,65-74,65-74,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),123.4,25,POINT (-72.082691 42.27687),Northeast,MA,New England,Yes,Low,2020-2024
