Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Data Type,Data Type Label,Data Value,FIPS,Geolocation,Region,State Abbreviation,Census Division,Data Value Available Flag,Data Value Category,Year Group,Location Type
2021,Texas,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Males,Age,45-64,45-64,Cause-specific Diabetes-Attributable Deaths: End Stage Renal Disease,Deaths ATD: End Stage Renal Disease,46,48,POINT (-99.42677 31.82724),South,TX,West South Central,Yes,Medium,2020-2024,State
2021,Alabama,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Females,Age,75+,75+,Cause-specific Diabetes-Attributable Deaths: Cardiovascular Disease (Estimated),Deaths ATD: Cardiovascular Disease,127,01,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024,State
2021,Louisiana,Quality Adjusted Life Years Lost,Estimated Quality Adjusted Life Years (QALYs),Sex,Overall,Age,45-64,45-64,Number of Persons with Diabetes (in thousands),PWD (in thousands),204,22,POINT (-92.44568 31.312661),South,LA,West South Central,Yes,High,2020-2024,State
2021,South Carolina,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Overall,Age,65-74,65-74,All Causes of Death (Estimated),All Causes of Death,511,45,POINT (-81.045371 33.998821),South,SC,South Atlantic,Yes,High,2020-2024,State
2021,Nebraska,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Overall,Age,45-64,45-64,All Causes of Death (Estimated),All Causes of Death,420,31,POINT (-99.365721 41.641041),Midwest,NE,West North Central,Yes,High,2020-2024,State
2021,Michigan,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Overall,Age,45-64,45-64,Cause-specific Diabetes-Attributable Deaths: Cardiovascular Disease (Estimated),Deaths ATD: Cardiovascular Disease,"1,270",26,POINT (-84.71439 44.66132),Midwest,MI,East North Central,Yes,High,2020-2024,State
2021,Oregon,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Males,Age,15-44,15-44,Cause-specific Diabetes-Attributable Deaths: Cardiovascular Disease (Estimated),Deaths ATD: Cardiovascular Disease,1,41,POINT (-120.155031 44.567449),West,OR,Pacific,Yes,Low,2020-2024,State
2021,West Virginia,Diabetes Cause of Death,Number of Deaths with Diabetes as Underlying Cause of Death (UCOD) in Persons Aged 15 Years or Older,Sex,Males,Age,15-44,15-44,Number of Deaths,Number of Deaths,27,54,POINT (-80.71264 38.66551),South,WV,South Atlantic,Yes,Medium,2020-2024,State
2021,Oklahoma,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Overall,Age,45-64,45-64,Cause-specific Diabetes-Attributable Deaths: Cardiovascular Disease (Estimated),Deaths ATD: Cardiovascular Disease,85,40,POINT (-97.52107 35.472031),South,OK,West South Central,Yes,Medium,2020-2024,State
2021,New Jersey,Diabetes Cause of Death,"Deaths with Diabetes as Underlying Cause of Death (UCOD) per 100,000 Persons Aged 15 Years or Older",Sex,Females,Age,15-44,15-44,"Deaths per 100,000","Deaths per 100,000",1,34,POINT (-74.273691 40.13057),Northeast,NJ,Middle Atlantic,Yes,Low,2020-2024,State
2021,West Virginia,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Males,Age,15+,Total,Cause-specific Diabetes-Attributable Deaths: Cardiovascular Disease (Estimated),Deaths ATD: Cardiovascular Disease,90,54,POINT (-80.71264 38.66551),South,WV,South Atlantic,Yes,Medium,2020-2024,State
2021,Tennessee,Years of Potential Life Lost,Estimated Years of Potential Life Lost (YPLL) due to Diabetes,Sex,Overall,Age,18+,Average/Total,Total YPLLs due to Diabetes (in thousands),Total YPLLs ATD (in thousands),3,47,POINT (-85.774491 35.680941),South,TN,East South Central,Yes,Low,2020-2024,State
2021,Nebraska,Diabetes Cause of Death,Number of Deaths with Diabetes as Underlying Cause of Death (UCOD) in Persons Aged 15 Years or Older,Sex,Females,Age,15-44,15-44,Number of Deaths,Number of Deaths,10,31,POINT (-99.365721 41.641041),Midwest,NE,West North Central,Yes,Low,2020-2024,State
